"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Cornell","10.5281/zenodo.3563069","dois","10.5281/zenodo.3563069","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v9.2.1","https://zenodo.org/record/3563069",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2019-12-04T20:12:15Z","2019-12-04T20:12:16Z",NA,"2020-07-30T10:19:43Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3563078","dois","10.5281/zenodo.3563078","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v11.3","https://zenodo.org/record/3563078",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-12-04T20:32:16Z","2019-12-04T20:32:16Z",NA,"2020-07-30T10:19:52Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3563090","dois","10.5281/zenodo.3563090","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v8.0.3","https://zenodo.org/record/3563090",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-12-04T20:53:10Z","2019-12-04T20:53:10Z",NA,"2020-07-30T10:19:59Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3563226","dois","10.5281/zenodo.3563226","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v3.1.2","https://zenodo.org/record/3563226",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-12-05T03:31:51Z","2019-12-05T03:31:51Z",NA,"2020-07-30T10:20:06Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3564824","dois","10.5281/zenodo.3564824","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.15.2","https://zenodo.org/record/3564824",0,NA,"mds",TRUE,"findable",NA,1,0,0,0,0,0,0,0,"2019-12-05T20:49:58Z","2019-12-05T20:49:59Z",NA,"2020-07-30T10:29:56Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3570772","dois","10.5281/zenodo.3570772","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.2.0","https://zenodo.org/record/3570772",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,1,"2019-12-11T11:34:48Z","2019-12-11T11:34:50Z",NA,"2020-07-30T10:44:04Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3594004","dois","10.5281/zenodo.3594004","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2019",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","1.8.0","https://zenodo.org/record/3594004",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-12-27T16:34:47Z","2019-12-27T16:34:47Z",NA,"2020-07-30T11:36:47Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3596446","dois","10.5281/zenodo.3596446","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v11.4","https://zenodo.org/record/3596446",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-01-01T20:20:04Z","2020-01-01T20:20:05Z",NA,"2020-07-30T20:07:11Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3596447","dois","10.5281/zenodo.3596447","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.15.3","https://zenodo.org/record/3596447",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-01-01T20:38:33Z","2020-01-01T20:38:33Z",NA,"2020-07-30T20:07:16Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.3596456","dois","10.5281/zenodo.3596456","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2020",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v3.4.1","https://zenodo.org/record/3596456",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2020-01-01T20:52:03Z","2020-01-01T20:52:04Z",NA,"2020-07-30T20:07:17Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
