"container.title","created","deposited","published.print","doi","indexed","issued","member","prefix","publisher","score","source","reference.count","references.count","is.referenced.by.count","title","type","url"
"MorphoSource Media","2018-08-11","2018-08-11","2018","10.17602/m2/m34538","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M18215-34538","dataset","http://dx.doi.org/10.17602/m2/m34538"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m26187","2022-03-30","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M14622-26187","dataset","http://dx.doi.org/10.17602/m2/m26187"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m31113","2022-03-30","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M13488-31113","dataset","http://dx.doi.org/10.17602/m2/m31113"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m39769","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M20932-39769","dataset","http://dx.doi.org/10.17602/m2/m39769"
"MorphoSource Media","2021-11-16","2021-11-16","2021","10.17602/m2/m392230","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Cranium [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m392230"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m26011","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10077-26011","dataset","http://dx.doi.org/10.17602/m2/m26011"
"MorphoSource Media","2021-09-09","2021-09-09","2021","10.17602/m2/m93906","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Calcaneus [CTImageSeries] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m93906"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m15737","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10594-15737","dataset","http://dx.doi.org/10.17602/m2/m15737"
"MorphoSource Media","2018-10-11","2018-10-11","2018","10.17602/m2/m6329","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M6454-6329","dataset","http://dx.doi.org/10.17602/m2/m6329"
"MorphoSource Media","2020-09-17","2020-09-17","2020","10.17602/m2/m155174","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M79521-155174","dataset","http://dx.doi.org/10.17602/m2/m155174"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m34139","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M18031-34139","dataset","http://dx.doi.org/10.17602/m2/m34139"
"MorphoSource Media","2018-01-25","2018-01-25","2015","10.17602/m2/m5545","2022-03-30","2015","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M5545 from DNMNH Archive","dataset","http://dx.doi.org/10.17602/m2/m5545"
"MorphoSource Media","2018-10-11","2018-10-11","2018","10.17602/m2/m3838","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M4208-3838","dataset","http://dx.doi.org/10.17602/m2/m3838"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m28683","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10401-28683","dataset","http://dx.doi.org/10.17602/m2/m28683"
"MorphoSource Media","2020-01-16","2020-01-16","2020","10.17602/m2/m98704","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M54785-98704","dataset","http://dx.doi.org/10.17602/m2/m98704"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m168284","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M86849-168284","dataset","http://dx.doi.org/10.17602/m2/m168284"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m22345","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M13068-22345","dataset","http://dx.doi.org/10.17602/m2/m22345"
